x,y,z,r,g,b,
0.220995,0.579719,-0.949555,209,254,227,
0.249648,0.439962,-0.801945,199,247,221,
0.155424,0.419085,-0.788228,187,242,208,
-0.0442565,0.418376,-0.778464,212,251,194,
0.297515,-0.0402283,-0.88173,209,254,226,
0.471774,0.609643,-1.30429,178,244,220,
0.020471,0.368224,-0.778464,233,254,218,
0.0579503,0.357852,-0.778464,245,254,232,
-0.0432495,0.353548,-0.778464,175,212,190,
0.137728,0.345225,-0.789128,197,254,219,
0.141417,0.333898,-0.792294,183,240,207,
0.109616,0.330366,-0.787331,187,235,190,
0.175083,0.326865,-0.792748,200,255,210,
0.0783997,0.312004,-0.806153,177,233,195,
-0.127234,0.284125,-0.820019,192,248,185,
-0.0999684,0.274312,-0.839437,238,254,227,
0.098235,0.248336,-0.850278,215,254,214,
0.268531,0.183906,-0.848712,165,253,240,
0.315743,0.169454,-0.829366,192,254,238,
0.0137274,0.421021,-0.778464,214,247,198,
0.199948,0.0836801,-0.895435,170,229,211,
0.223571,0.0746483,-0.889101,126,176,153,
0.231456,-0.0187357,-0.88682,177,235,196,
0.206193,-0.0234275,-0.902449,175,246,210,
0.245271,-0.0900587,-0.872273,203,254,221,
0.251759,-0.113761,-0.881168,209,254,218,
0.230706,-0.13842,-0.879486,175,218,184,
-0.446046,-0.379672,-1.67379,147,239,209,
0.192185,-0.248033,-0.942435,164,252,220,
0.184654,-0.261598,-0.960773,171,255,242,
0.183933,-0.255285,-0.861403,108,165,138,
0.262677,-0.421386,-0.825404,207,254,211,
0.263204,-0.430835,-0.828868,208,255,213,
0.0170236,0.369754,-0.778464,224,255,217,
0.016423,0.366183,-0.778464,224,253,212,
-0.113387,1.24188,-2.0452,195,241,203,
0.250028,0.458787,-0.807566,159,216,211,
0.249964,0.44091,-0.804745,199,247,219,
-0.0394896,0.429204,-0.778464,206,243,197,
-0.0667703,0.422923,-0.778464,132,172,131,
-0.051013,0.422467,-0.778464,139,178,133,
0.155658,0.419963,-0.789579,182,240,206,
-0.0437943,0.418389,-0.778464,213,252,194,
0.0411162,0.409871,-0.778464,201,241,196,
-0.041872,0.400154,-0.778464,192,242,201,
-0.116599,0.400587,-0.778464,182,233,186,
0.00674939,0.3963,-0.778464,206,251,206,
0.0230382,0.381144,-0.778464,215,255,223,
0.224246,-0.0653587,-0.875587,199,245,208,
-0.00377522,0.377759,-0.778464,199,253,203,
0.147501,0.375907,-0.786435,179,236,201,
-0.0227713,0.375596,-0.778464,195,247,208,
0.471153,0.609716,-1.30429,178,244,220,
0.018386,0.367938,-0.778464,245,255,222,
0.0256123,0.364053,-0.778464,133,185,146,
-0.0219911,0.363735,-0.778464,112,159,134,
0.056717,0.358192,-0.778464,241,255,229,
-0.00659209,0.353787,-0.778464,204,252,204,
-0.0434491,0.353448,-0.778464,174,211,189,
0.0383655,0.350154,-0.778464,211,251,200,
0.02043,0.349351,-0.778464,205,255,214,
-0.000150198,0.349129,-0.778464,150,196,150,
0.0285793,0.347675,-0.778464,129,175,138,
0.137587,0.345226,-0.789128,197,254,219,
0.0960256,0.341097,-0.788228,186,246,203,
-0.0827131,0.337736,-0.778464,182,231,183,
0.111887,0.334468,-0.785541,122,168,130,
